"
Wow, what a great restaurant with delicious German cuisine. We had dinner here recently and we all loved it!
The old half-timbered house is really worth seeing. It has its very own atmosphere and a great ambiance.
The menu is relatively small, but all dishes convinced us. My Wiener Schnitzel was really great - just how you want it!
The team there is very young, but extremely nice and attentive.
I heartily recommend this restaurant. We'd love to come back!
Tip: It makes sense to make a reservation at the weekend!

Parking: Ausreichend freie Parkplätze in der Umgebung vorhanden.

Wheelchair accessibility: Das alte Fachwerkhaus hat viele Stufen und Treppen. Daher sollte man sich vorher besser informieren.
Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5

Recommended dishes
Creme Brulee, Wiener Schnitzel Mit Blatt Und Gurken Salat, Gänsebrust Mit Rotkohl Maronen Und Klöße

Parking space
Plenty of parking

Parking options
Free parking lot",1
"
Very nice ambience in a really great old half-timbered house. The food was delicious, upscale German cuisine at a good price-performance ratio. The service was very hard. Gladly again.
Food: 4/5  |  Service: 3/5  |  Atmosphere: 5/5

Parking space
Plenty of parking",1
Good traditional food and ambiance. The portions could be bigger for the price. Overall a great experience,1
"
We stayed at the Mausefalle on 11/27/22 and we really enjoyed it. Very nice atmosphere, professional and friendly service. Great steaks! Small card and paid about 55 euros per person …",1
"
Pleasant restaurant in a cultivated ambience in the middle of the old town. In the extensively renovated half-timbered house, food is served on the ground floor and on the two upper floors; that demands the service staff! The guest rooms were sometimes too loud (music), communication sometimes difficult. The quality of the food was very satisfactory, the service attentive and courteous. We were very satisfied and would love to come back.
Food: 5/5  |  Service: 5/5  |  Atmosphere: 4/5",1
"
Very cozy place. You can sit outside. The service is perfect. The Wiener Schnitzel was very good. The salad was a bit too sweet for me personally.
Homemade fries. All in all very good. Kind regards, S. Ott
Food: 4/5  |  Service: 5/5  |  Atmosphere: 5/5

Recommended dishes
Wiener Schnitzel Vom Milchkalb Mit Pommes",1
"
Very tasty food right next to the church in pleasant shade.
The cold tomato soup as a ""greeting"" from the kitchen with homemade bread was the best thing I've eaten in a long time.
The wait staff was friendly and attentive - definitely a place to go multiple times.",1
"
It was just an all-round successful experience. Starting with the very nice greeting, through the consistently attentive and friendly manner of service, to the mastering of smaller challenges by the small children at the next table, the service left such a great impression that I, as a 49-year-old guy, had not been able to experience in a long time. Of course, the quality of the food itself should not be neglected. Such a decent steak in this house is a lot of fun. We would like to come again.
Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5",1
"
After a long time back on site, in this funny restaurant. If you haven't just looked in the bar (ground floor) it's time to crawl. The staircase leads over several floors to the small rooms, some of which only have one table. Nevertheless, a good 30 people can also be accommodated as a group. Well, I find it funny and quaint.
The food was good as usual. Unfortunately, the menu is very small, but with a kitchen of about 9 square meters it is very understandable. AND: Everyone can find something!
Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5

Recommended dishes
Creme Brulee, Wiener Schnitzel Vom Milchkalb Mit Pommes",0
"
It was perfect all round. The service was great and tried very hard. The food was exactly as requested. I will definitely come back.
Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5",1
"
Very good quality! Smaller seasonal selection, like hearty :) Huge selection of drinks (especially wine etc. is an amazing selection!). Beautiful rustic facility, does not echo. Entrance and restaurant are not accessible for wheelchair users. Toilet small but clean :) Service young, nice and in a good mood and very courteous. Don't show up too often, but still attentive and there on time. Payment by card is also possible.",1
"
We've always wanted to eat at the Mausefalle. This time it was timely. So table booked. (It is advisable to do this since it is in the evening
every table has been occupied.)
The restaurant is in the old town and is a half-timbered house. Our table was on the first floor and I/we felt right at home, especially since a very friendly waitress welcomed us and took us to our table. As an entrée there was homemade bread with very tasty olive oil and sea salt, plus a little greeting from the kitchen - potato soup. Yummy.
I ordered the rump steak with pepper sauce and mayo (homemade). Homemade green herb butter was served with the steak. It went really well with the steak, which by the way was buttery soft.
The salad was dressed with the amazing olive oil and also had pine nuts. I ordered the rhubarb rinha to drink. Non-alcoholic cocktail.
The service was very friendly and courteous and dealt with our requests with ease. That's how I wish it.
All in all, I can only recommend the Mausefalle and we were definitely not there for the last time. Thumbs up! 👍",1
"
Quaint restaurant in the center of Mülheim, great atmosphere over several floors (respect to the service staff!). Upscale German & international cuisine. Highly recommended, especially the vegetarian dishes were very tasty 😊",1
"
Delicious! Had the most tender and best medium fillet steak of my life there! Prices may be salty - but this extraordinary experience is worth it every time. Also great in terms of atmosphere, location and interior design - very rustic country style over several open floors. Clear recommendation: veal cutlets and fillet steak!",1
"
Very good food, a bit more expensive but it's worth it. I chose the fillet steak and it was the best steak I've ever eaten. Exclusive wines are also on offer. Friendly staff, they really deserve a good tip, if only for the fact that they have to climb all the stairs - hats off!
Food: 5/5  |  Service: 3/5  |  Atmosphere: 4/5",1
"
A really nice rustic ambience and good food. The waiter was very friendly and everything went quickly. The restaurant serves its guests in a relaxed but professional atmosphere. The price is a bit higher but absolutely justified.

The knuckle took a long time, but it was rarely so crisp and juicy.

It's worth a visit!",1
"
Great restaurant with a rustic, cozy atmosphere. A varied, not too extensive menu with home cooking is offered. A bit higher in price, but absolutely justified by the quality. I would come again.",1
"
Small menu, but all very tasty.
Friendly service, attentive again the 'greeting from the kitchen'.

All in all, a very clear recommendation for a small evening snack and a short nightcap with friends, as well as for a family dinner in a cozy atmosphere.

Recommended: Book a table in advance.
Food: 4/5  |  Service: 3/5  |  Atmosphere: 3/5

Recommended dishes
Zwiebelkuchen Mit Blattsalat",1
"
I celebrated my 60th birthday in the Mausefalle with family and friends (20 people). From coffee & cake from 3 p.m. to dinner and well past midnight with curry sausage and a few drinks.

The homemade cakes from the Mausefalle were great, the whiskey cake excellent.. Coffee and a welcome drink, everything was right..

The dinner menu was praised by all guests without exception and was delicious.

The service is always attentive, extremely friendly and helpful.

We can only warmly recommend the location Mausefalle, Mülheim an der Ruhr.. great premises.. value for money absolutely fine..

All the best to the whole team, keep it up,,

Jan Eggel
Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5",1
"
We have eaten really well here for a long time.

Excellent service. Totally customer oriented. Selected ingredients in the food that are freshly picked in our own garden. The portions are sufficient and on point. We like being guests here.",0
"
The ambience goes well with the upscale, home-style cuisine. The food tastes very good, but unfortunately this is reflected in the price a bit too much. Service was friendly and competent. Limited parking and not handicapped accessible.
Food: 4/5  |  Service: 5/5  |  Atmosphere: 5/5",0
It was perfect dinner! We came from South Korea for biz trip in Mulehaim here and just googling and find highest rated restaurant near the hotel and found this restaurant. Here is perfect for German traditional dishes like haxe and schnitzel. And more than the dishes I was touched by service from the waitress. She was from Poland and even we were sitting on 2nd floor she was always asking that if we need something and dishes are fine. She told us her name but I forgot her name…Anyway it was great time for us thanks to you and wish everybody who saw this review has to visit this restaurant! Thank you polish friend!,1
"We just love to come here over and over again. The food is delicious, prepared with their own products. Table booking in advanced is recommended. Simply great.
Food: 5/5  |  Service: 4/5  |  Atmosphere: 5/5",1
"Very good food. Charming place. If I could grant 6 stars for service I surely would. Not cheapest place but worth visiting.

Parking: Did not found one so we walked for about 20min. from hotel. But it is old town so expectations were limited.
Food: 4/5  |  Service: 5/5  |  Atmosphere: 4/5

Parking space
Difficult to find parking

Parking options
Parking is unavailable",1
"The prices are definitely marked up for tourists, and the portions aren't great either. The service was very good though, and the atmosphere was also pretty great.

Wheelchair accessibility: Not very wheelchair friendly. Steps and such everywhere.
Food: 3/5  |  Service: 5/5  |  Atmosphere: 5/5",1
"
Excellent food, cozy atmosphere and friendly staff.
I can definitely recommend it👍",1
"
The (historical) Mausefalle is an atmospheric location with child-friendly staff.
The food is great, but not too rich. The side salad caused the minus point or star, since almost all cut surfaces of the lettuce leaves and the radicchio were brown and ""old"". A pity!

Parking: Zur Mausefalle selber gibt's keine Parkplätze. Aber nebenan in der Bachstrasse und vor der Petrikirche sind mehrere kostenpflichtige Parkplätze
Food: 4/5  |  Service: 5/5  |  Atmosphere: 4/5

Recommended dishes
Rinder-filetsteak

Parking space
Somewhat difficult to find parking

Parking options
Paid street parking",1
"
Very nice restaurant... friendly service...everything made by ourselves...we'll be back
Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5",1
"
Easy to order and pick up in Corona times. Very tasty food, large portions at reasonable prices. Gladly again. Good packaging with minimal waste.",1
"
Outstanding restaurant. The food is of a very high standard. Fresh ingredients are expertly prepared here. The staff is extremely friendly and the atmosphere is the crowning glory. It's really a dream to sit here. We'll definitely be back.",1
Fantastic place. Good food. Nice staff.,1
A very unique little restaurant with very well prepared dishes,1
Upscale German cuisine in a beautiful place!  One of the best restaurants in Mühlheim.,1
"Fabjlous food, great surrounding, lovely helpful, friendly staff",1
Great place. Good food and very good beer.,1
Great traditional food. Cozy feel,1
Very good food. Service a bit slow.,0
Wonderful food and rustic atmosphere,1
Cosy and authentic nice food,1
Amazing food!,1
"
Best restaurant in Mülheim. Been many times, never disappointed. Almost always excellent.
Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5",1
